unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
1000,1000_0,126003000,126003200,13 - I-278/Eliz/Goethals/Verrazano,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T14:05:57Z,2023-12-05T14:10:21Z,3.03,3.65,
1000,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T14:20:31Z,2023-12-05T14:30:31Z,3.59,4.05,
1000,1000_0,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T14:40:01Z,2023-12-05T14:49:51Z,3.59,4.05,
1000,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T15:00:10Z,2023-12-05T15:10:09Z,3.59,4.05,
1000,1000_0,111902000,,I78 : I-78 Br,,barrier,2023-12-05T15:13:38Z,,22.5,25,
1000,1000_0,130002600,130000000,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-05T23:14:58Z,2023-12-06T04:31:04Z,100,,201.8
1000,1000_0,126003000,126003200,13 - I-278/Eliz/Goethals/Verrazano,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T14:05:57Z,2023-12-05T14:10:21Z,3.03,3.65,
1000,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T14:20:31Z,2023-12-05T14:30:31Z,3.59,4.05,
1000,1000_0,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T14:40:01Z,2023-12-05T14:49:51Z,3.59,4.05,
1000,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T15:00:10Z,2023-12-05T15:10:09Z,3.59,4.05,
1000,1000_0,111902000,,I78 : I-78 Br,,barrier,2023-12-05T15:13:38Z,,22.5,25,
1000,1000_0,130002600,130000000,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-05T23:14:58Z,2023-12-06T04:31:04Z,100,,201.8
1000,1000_1,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T00:18:26Z,2023-12-07T06:08:13Z,108.9,,220
1000,1000_1,128006000,128004200,239 - Eastgate,180 - Akron,ticketSystem1,2023-12-07T07:01:28Z,2023-12-06T23:36:21Z,11.5,14.5,
1000,1000_1,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T00:18:26Z,2023-12-07T06:08:13Z,108.9,,220
1000,1000_2,130001000,130006000,75 - New Stanton,353 - Neshaminy Falls,ticketSystem1,2023-12-08T01:31:00Z,2023-12-08T08:58:29Z,143.1,,288.8
1000,1000_2,126001000,126001400,6 - PA Turnpike/Florence,7 - Bordentown/Trenton,ticketSystem1,2023-12-08T09:13:43Z,2023-12-08T09:22:58Z,7.97,9.25,
1000,1000_2,126001600,126002400,7A - I-195/Trenton/Shore Points,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-08T09:40:30Z,2023-12-08T10:25:56Z,10.64,12.15,
1000,1000_2,126002400,126001000,10 - I-287/Metuchen/Edison Twsp,6 - PA Turnpike/Florence,ticketSystem1,2023-12-08T10:32:41Z,2023-12-08T10:32:41Z,20.57,23.85,
1000,1000_2,111904400,,Exit 43,,barrier,2023-12-08T10:32:41Z,,26.4,,35.9
1000,1000_2,130006000,130001000,353 - Neshaminy Falls,75 - New Stanton,ticketSystem1,2023-12-08T10:32:41Z,2023-12-08T10:32:41Z,143.1,,288.8
1000,1000_2,130001000,130006000,75 - New Stanton,353 - Neshaminy Falls,ticketSystem1,2023-12-08T01:31:00Z,2023-12-08T08:58:29Z,143.1,,288.8
1000,1000_2,126001000,126001400,6 - PA Turnpike/Florence,7 - Bordentown/Trenton,ticketSystem1,2023-12-08T09:13:43Z,2023-12-08T09:22:58Z,7.97,9.25,
1000,1000_2,126001600,126002400,7A - I-195/Trenton/Shore Points,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-08T09:40:30Z,2023-12-08T10:25:56Z,10.64,12.15,
1000,1000_2,126002400,126001000,10 - I-287/Metuchen/Edison Twsp,6 - PA Turnpike/Florence,ticketSystem1,2023-12-08T10:32:41Z,2023-12-08T10:32:41Z,20.57,23.85,
1000,1000_2,111904400,,Exit 43,,barrier,2023-12-08T10:32:41Z,,26.4,,35.9
1000,1000_2,130006000,130001000,353 - Neshaminy Falls,75 - New Stanton,ticketSystem1,2023-12-08T10:32:41Z,2023-12-08T10:32:41Z,143.1,,288.8
2000,2000_4,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-09T07:58:55Z,2023-12-09T08:23:28Z,6.74,,8.76
2000,2000_4,126005600,126002400,18E - Lincoln Tunnel/NJ 3/Secaucus,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-09T09:31:26Z,2023-12-09T10:11:11Z,36.02,39.45,
